,optim_,prev,enhance_rate:%,len_d,attribute,len_Cx,len_C
201,0.21518987341772153,0.1393939393939394,154.0,0,"[3.0, 8.0, 14.0]",4,6
202,0.37777777777777777,0.24731182795698925,153.0,0,"[0.0, 4.0, 11.0]",2,3
203,0.2185792349726776,0.14420062695924765,152.0,0,"[0.0, 2.0, 10.0]",2,4
204,0.5454545454545454,0.3616161616161616,151.0,1,"[1.0, 11.0, 18.0]",10,12
205,0.13648293963254593,0.09081934846989141,150.0,0,"[0.0, 2.0, 7.0]",1,3
206,0.23809523809523808,0.15939278937381404,149.0,1,"[2.0, 9.0, 10.0]",7,12
207,0.17233560090702948,0.11645569620253164,148.0,0,"[2.0, 7.0, 14.0]",2,3
208,0.0682388359257401,0.046546926385024036,147.0,0,"[0.0, 6.0, 17.0]",1,2
209,0.06810215322984477,0.04649987364164771,146.0,0,"[0.0, 6.0, 16.0]",1,2
210,0.21224489795918366,0.1467304625199362,145.0,0,"[2.0, 4.0, 15.0]",1,3
211,0.2367601246105919,0.16487455197132617,144.0,0,"[2.0, 3.0, 8.0]",7,9
212,0.3157894736842105,0.22121212121212122,143.0,0,"[1.0, 3.0, 7.0]",6,9
213,0.1824561403508772,0.12849162011173185,142.0,0,"[0.0, 2.0, 12.0]",2,4
214,0.26143790849673204,0.18548387096774194,141.0,0,"[0.0, 3.0, 11.0]",6,7
215,0.1523809523809524,0.10906935388263189,140.0,1,"[1.0, 4.0, 19.0]",1,4
216,0.1900647948164147,0.13680297397769517,139.0,2,"[1.0, 3.0, 14.0]",4,8
217,0.5027995520716685,0.3655547991831178,138.0,0,"[0.0, 4.0, 8.0]",4,5
218,0.1596244131455399,0.11645569620253164,137.0,0,"[0.0, 7.0, 14.0]",1,2
219,0.2982456140350877,0.21904761904761905,136.0,0,"[0.0, 11.0, 14.0]",2,3
220,0.37777777777777777,0.2804878048780488,135.0,0,"[0.0, 4.0, 10.0]",2,3
221,0.30514096185737977,0.22699914015477213,134.0,5,"[0.0, 1.0, 9.0]",6,8
222,0.4542157751586582,0.34182049649904517,133.0,0,"[0.0, 7.0, 10.0]",4,5
223,0.3967649857278782,0.29966517857142855,132.0,0,"[1.0, 6.0, 11.0]",9,12
224,0.37988826815642457,0.2902208201892745,131.0,0,"[0.0, 2.0, 4.0]",2,3
225,0.17721518987341772,0.13609467455621302,130.0,2,"[1.0, 11.0, 20.0]",4,6
226,0.06974358974358974,0.0540223135642983,129.0,0,"[0.0, 7.0, 16.0]",1,2
227,0.1824561403508772,0.14263565891472868,128.0,0,"[0.0, 2.0, 14.0]",1,3
228,0.18699186991869918,0.1471264367816092,127.0,4,"[1.0, 9.0, 12.0]",11,13
229,0.1824561403508772,0.14488188976377953,126.0,0,"[0.0, 2.0, 15.0]",1,3
230,0.37777777777777777,0.3026315789473684,125.0,0,"[0.0, 4.0, 19.0]",1,2
231,0.352112676056338,0.2839506172839506,124.0,0,"[0.0, 11.0, 12.0]",2,4
232,0.34934497816593885,0.28307692307692306,123.0,0,"[0.0, 3.0, 10.0]",6,7
233,0.3316782522343595,0.2714177407126611,122.0,0,"[0.0, 6.0, 10.0]",3,4
234,0.36363636363636365,0.3008130081300813,121.0,4,"[0.0, 9.0, 21.0]",8,9
235,0.46895640686922063,0.3901198692335634,120.0,0,"[1.0, 4.0, 5.0]",17,18
236,0.17592592592592593,0.1476655808903366,119.0,2,"[1.0, 2.0, 21.0]",3,6
237,0.41208791208791207,0.3489278752436647,118.0,0,"[0.0, 1.0, 19.0]",10,11
