,previous_sim,optim_sim,enhance_rate:%,len_d,attribute,len_Cx,len_C
0,0.9166666666666666,0.392018779342723,234.0,0,"[4.0, 9.0, 16.0]",3,5
1,0.9116022099447514,0.3911007025761124,233.0,0,"[1.0, 4.0, 16.0]",4,6
2,0.9116022099447514,0.39856801909307876,229.0,0,"[4.0, 5.0, 8.0]",3,5
3,0.9116022099447514,0.4053398058252427,225.0,0,"[4.0, 5.0, 8.0, 16.0]",4,6
4,0.9116022099447514,0.4073170731707317,224.00000000000003,0,"[4.0, 5.0, 9.0]",3,5
5,0.9166666666666666,0.4154228855721393,221.0,0,"[4.0, 5.0, 9.0, 16.0]",4,6
6,0.9116022099447514,0.42493638676844786,215.0,0,"[4.0, 8.0, 12.0]",4,6
7,0.9116022099447514,0.42710997442455245,213.0,0,"[4.0, 8.0, 12.0, 16.0]",6,8
8,0.9116022099447514,0.4348958333333333,210.0,0,"[1.0, 4.0, 7.0]",4,6
9,0.7948717948717948,0.3847926267281106,206.99999999999997,0,"[3.0, 5.0, 7.0]",3,8
10,0.8090452261306532,0.39294117647058824,206.0,0,"[3.0, 5.0, 11.0]",4,7
11,0.7897435897435897,0.3847926267281106,204.99999999999997,0,"[3.0, 5.0, 12.0]",4,8
12,0.7929292929292929,0.39294117647058824,202.0,0,"[5.0, 11.0, 12.0]",3,7
13,0.7715736040609137,0.3847926267281106,200.99999999999997,0,"[3.0, 8.0, 11.0]",4,8
14,0.9116022099447514,0.4562841530054645,200.0,0,"[1.0, 4.0, 13.0]",4,6
15,0.7659574468085106,0.3847926267281106,199.0,0,"[3.0, 8.0, 15.0]",3,8
16,0.7621621621621621,0.3847926267281106,198.0,0,"[1.0, 3.0, 5.0]",2,8
17,0.7566137566137566,0.3847926267281106,197.0,0,"[1.0, 3.0, 13.0]",3,8
18,0.7754010695187166,0.3947990543735225,196.0,0,"[3.0, 5.0, 15.0]",3,7
19,0.7486631016042781,0.3847926267281106,195.0,0,"[1.0, 3.0, 11.0]",3,8
20,0.7447916666666666,0.3847926267281106,194.0,0,"[1.0, 3.0, 9.0]",3,8
21,0.7409326424870466,0.3847926267281106,193.0,0,"[1.0, 3.0, 12.0]",3,8
22,0.7403314917127072,0.3847926267281106,192.0,0,"[3.0, 6.0, 12.0]",2,8
23,0.7346938775510204,0.3847926267281106,191.0,0,"[1.0, 12.0, 13.0]",3,8
24,0.7323232323232324,0.3847926267281106,190.0,0,"[1.0, 2.0, 3.0]",4,8
25,0.7268041237113402,0.3847926267281106,189.0,0,"[1.0, 8.0, 12.0]",3,8
26,0.7323232323232324,0.38927738927738925,188.0,0,"[1.0, 3.0, 16.0]",4,6
27,0.72,0.3847926267281106,187.0,0,"[1.0, 12.0, 15.0]",3,8
28,0.7156862745098039,0.3847926267281106,186.0,0,"[1.0, 2.0, 12.0]",4,8
