,previous_sim,optim_sim,enhance_rate:%,len_d,attribute,len_Cx,len_C
0,0.12447257383966245,0.11284722222222222,110.00000000000001,0,"[0.0, 2.0, 3.0]",13,16
1,0.08168642951251646,0.07523148148148148,109.00000000000001,0,"[1.0, 2.0, 3.0]",21,24
2,0.19117647058823528,0.1796875,106.0,0,"[0.0, 3.0, 5.0]",7,8
3,0.35714285714285715,0.3385416666666667,105.0,0,"[0.0, 4.0, 5.0]",3,4
4,0.13404255319148936,0.12896825396825398,104.0,0,"[0.0, 2.0, 4.0]",13,14
5,0.7182564750473784,0.7000579038795599,103.0,16,"[0.0, 2.0, 5.0]",26,32
6,0.716072545340838,0.7000579038795599,102.0,12,"[0.0, 3.0, 4.0]",20,24
